price,title,link
"114,229","Liquidificador Turbo Power L-99 Fb 2,2l 550w Preto Mondial 110V",https://www.mercadolivre.com.br/liquidificador-turbo-power-l-99-fb-22l-550w-preto-mondial-110v/p/MLB15578949?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB15578949&position=21&search_layout=grid&type=product&tracking_id=a18086ec-eb1c-458d-8b57-8ac630b22c6a&deal_print_id=2161bff3-5575-4efe-8c23-772566eae0d3&promotion_type=TODAY_PROMOTION
"219,319","Aspirador De Pó Vertical Stk15 1300w 1,6 Litros Electrolux Cor Cinza-escuro 110V",https://www.mercadolivre.com.br/aspirador-de-po-vertical-stk15-1300w-16-litros-electrolux-cor-cinza-escuro-110v/p/MLB18238728?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18238728&position=22&search_layout=grid&type=product&tracking_id=a18086ec-eb1c-458d-8b57-8ac630b22c6a&deal_print_id=2161bff3-5575-4efe-8c23-772566eae0d3&promotion_type=TODAY_PROMOTION
"499,749",Caixa Amplificada Connect Lights Cm-400 Preta Mondial Bivolt Cor Preto 110V/220V,https://www.mercadolivre.com.br/caixa-amplificada-connect-lights-cm-400-preta-mondial-bivolt-cor-preto-110v220v/p/MLB18247621?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18247621&position=23&search_layout=grid&type=product&tracking_id=a18086ec-eb1c-458d-8b57-8ac630b22c6a&deal_print_id=2161bff3-5575-4efe-8c23-772566eae0d3&promotion_type=TODAY_PROMOTION
"423,572",Lavadora De Alta Pressão 1500w 1750psi Wap Ousada Plus 2200 110V,https://www.mercadolivre.com.br/lavadora-de-alta-presso-1500w-1750psi-wap-ousada-plus-2200-110v/p/MLB15345686?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB15345686&position=10&search_layout=grid&type=product&tracking_id=ca004895-b163-48ca-af26-02f5d13662e0&deal_print_id=e9a25cb8-ae0e-4f1e-88df-05276d367a09&promotion_type=TODAY_PROMOTION
"918,1.499", Motorola Moto G32 Dual SIM 128 GB 4 GB RAM Preto,https://www.mercadolivre.com.br/motorola-moto-g32-dual-sim-128-gb-4-gb-ram-preto/p/MLB21813786?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB21813786&position=11&search_layout=grid&type=product&tracking_id=ca004895-b163-48ca-af26-02f5d13662e0&deal_print_id=e9a25cb8-ae0e-4f1e-88df-05276d367a09&promotion_type=TODAY_PROMOTION
"2.028,4.099","Notebook Samsung Book Intel Core I3 256gb Ssd 4gb Ram 15,6'' Windows 11 Home",https://www.mercadolivre.com.br/notebook-samsung-book-intel-core-i3-256gb-ssd-4gb-ram-156-windows-11-home/p/MLB19630987?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB19630987&position=12&search_layout=grid&type=product&tracking_id=ca004895-b163-48ca-af26-02f5d13662e0&deal_print_id=e9a25cb8-ae0e-4f1e-88df-05276d367a09&promotion_type=TODAY_PROMOTION
"2.610,3.099",Smart Tv 50'' Qled 4k 50q60c 2023,https://www.mercadolivre.com.br/smart-tv-50-qled-4k-50q60c-2023/p/MLB25871583?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB25871583&position=17&search_layout=grid&type=product&tracking_id=ca004895-b163-48ca-af26-02f5d13662e0&deal_print_id=e9a25cb8-ae0e-4f1e-88df-05276d367a09&promotion_type=TODAY_PROMOTION
"54,129",Camera Lâmpada Espia Wifi Ip Segurança Panoramica Giratoria,https://produto.mercadolivre.com.br/MLB-2785915286-camera-lmpada-espia-wifi-ip-seguranca-panoramica-giratoria-_JM?hide_psmb=true#position=43&search_layout=grid&type=item&tracking_id=ca004895-b163-48ca-af26-02f5d13662e0&deal_print_id=e9a25cb8-ae0e-4f1e-88df-05276d367a09&promotion_type=TODAY_PROMOTION
"89,115",Cerveja Heineken barril 5 litros,https://www.mercadolivre.com.br/cerveja-heineken-barril-5-litros/p/MLB18415390?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18415390&position=18&search_layout=grid&type=product&tracking_id=ca004895-b163-48ca-af26-02f5d13662e0&deal_print_id=e9a25cb8-ae0e-4f1e-88df-05276d367a09&promotion_type=TODAY_PROMOTION
"114,229","Liquidificador Turbo Power L-99 Fb 2,2l 550w Preto Mondial 110V",https://www.mercadolivre.com.br/liquidificador-turbo-power-l-99-fb-22l-550w-preto-mondial-110v/p/MLB15578949?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB15578949&position=21&search_layout=grid&type=product&tracking_id=ca004895-b163-48ca-af26-02f5d13662e0&deal_print_id=e9a25cb8-ae0e-4f1e-88df-05276d367a09&promotion_type=TODAY_PROMOTION
"219,319","Aspirador De Pó Vertical Stk15 1300w 1,6 Litros Electrolux Cor Cinza-escuro 110V",https://www.mercadolivre.com.br/aspirador-de-po-vertical-stk15-1300w-16-litros-electrolux-cor-cinza-escuro-110v/p/MLB18238728?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18238728&position=22&search_layout=grid&type=product&tracking_id=ca004895-b163-48ca-af26-02f5d13662e0&deal_print_id=e9a25cb8-ae0e-4f1e-88df-05276d367a09&promotion_type=TODAY_PROMOTION
"499,749",Caixa Amplificada Connect Lights Cm-400 Preta Mondial Bivolt Cor Preto 110V/220V,https://www.mercadolivre.com.br/caixa-amplificada-connect-lights-cm-400-preta-mondial-bivolt-cor-preto-110v220v/p/MLB18247621?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18247621&position=23&search_layout=grid&type=product&tracking_id=ca004895-b163-48ca-af26-02f5d13662e0&deal_print_id=e9a25cb8-ae0e-4f1e-88df-05276d367a09&promotion_type=TODAY_PROMOTION
"423,572",Lavadora De Alta Pressão 1500w 1750psi Wap Ousada Plus 2200 110V,https://www.mercadolivre.com.br/lavadora-de-alta-presso-1500w-1750psi-wap-ousada-plus-2200-110v/p/MLB15345686?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB15345686&position=10&search_layout=grid&type=product&tracking_id=ef8cd45f-b626-42af-a0b6-97ba973bd394&deal_print_id=67a5dac1-6995-495e-9589-3bee1362c527&promotion_type=TODAY_PROMOTION
"918,1.499", Motorola Moto G32 Dual SIM 128 GB 4 GB RAM Preto,https://www.mercadolivre.com.br/motorola-moto-g32-dual-sim-128-gb-4-gb-ram-preto/p/MLB21813786?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB21813786&position=11&search_layout=grid&type=product&tracking_id=ef8cd45f-b626-42af-a0b6-97ba973bd394&deal_print_id=67a5dac1-6995-495e-9589-3bee1362c527&promotion_type=TODAY_PROMOTION
"2.028,4.099","Notebook Samsung Book Intel Core I3 256gb Ssd 4gb Ram 15,6'' Windows 11 Home",https://www.mercadolivre.com.br/notebook-samsung-book-intel-core-i3-256gb-ssd-4gb-ram-156-windows-11-home/p/MLB19630987?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB19630987&position=12&search_layout=grid&type=product&tracking_id=ef8cd45f-b626-42af-a0b6-97ba973bd394&deal_print_id=67a5dac1-6995-495e-9589-3bee1362c527&promotion_type=TODAY_PROMOTION
"2.610,3.099",Smart Tv 50'' Qled 4k 50q60c 2023,https://www.mercadolivre.com.br/smart-tv-50-qled-4k-50q60c-2023/p/MLB25871583?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB25871583&position=17&search_layout=grid&type=product&tracking_id=ef8cd45f-b626-42af-a0b6-97ba973bd394&deal_print_id=67a5dac1-6995-495e-9589-3bee1362c527&promotion_type=TODAY_PROMOTION
"54,129",Camera Lâmpada Espia Wifi Ip Segurança Panoramica Giratoria,https://produto.mercadolivre.com.br/MLB-2785915286-camera-lmpada-espia-wifi-ip-seguranca-panoramica-giratoria-_JM?hide_psmb=true#position=43&search_layout=grid&type=item&tracking_id=ef8cd45f-b626-42af-a0b6-97ba973bd394&deal_print_id=67a5dac1-6995-495e-9589-3bee1362c527&promotion_type=TODAY_PROMOTION
"89,115",Cerveja Heineken barril 5 litros,https://www.mercadolivre.com.br/cerveja-heineken-barril-5-litros/p/MLB18415390?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18415390&position=18&search_layout=grid&type=product&tracking_id=ef8cd45f-b626-42af-a0b6-97ba973bd394&deal_print_id=67a5dac1-6995-495e-9589-3bee1362c527&promotion_type=TODAY_PROMOTION
"114,229","Liquidificador Turbo Power L-99 Fb 2,2l 550w Preto Mondial 110V",https://www.mercadolivre.com.br/liquidificador-turbo-power-l-99-fb-22l-550w-preto-mondial-110v/p/MLB15578949?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB15578949&position=21&search_layout=grid&type=product&tracking_id=ef8cd45f-b626-42af-a0b6-97ba973bd394&deal_print_id=67a5dac1-6995-495e-9589-3bee1362c527&promotion_type=TODAY_PROMOTION
"219,319","Aspirador De Pó Vertical Stk15 1300w 1,6 Litros Electrolux Cor Cinza-escuro 110V",https://www.mercadolivre.com.br/aspirador-de-po-vertical-stk15-1300w-16-litros-electrolux-cor-cinza-escuro-110v/p/MLB18238728?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18238728&position=22&search_layout=grid&type=product&tracking_id=ef8cd45f-b626-42af-a0b6-97ba973bd394&deal_print_id=67a5dac1-6995-495e-9589-3bee1362c527&promotion_type=TODAY_PROMOTION
"499,749",Caixa Amplificada Connect Lights Cm-400 Preta Mondial Bivolt Cor Preto 110V/220V,https://www.mercadolivre.com.br/caixa-amplificada-connect-lights-cm-400-preta-mondial-bivolt-cor-preto-110v220v/p/MLB18247621?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18247621&position=23&search_layout=grid&type=product&tracking_id=ef8cd45f-b626-42af-a0b6-97ba973bd394&deal_print_id=67a5dac1-6995-495e-9589-3bee1362c527&promotion_type=TODAY_PROMOTION
"423,572",Lavadora De Alta Pressão 1500w 1750psi Wap Ousada Plus 2200 110V,https://www.mercadolivre.com.br/lavadora-de-alta-presso-1500w-1750psi-wap-ousada-plus-2200-110v/p/MLB15345686?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB15345686&position=10&search_layout=grid&type=product&tracking_id=618fab3c-4267-4318-bb87-963eb126c9ce&deal_print_id=cf2c3dce-2c72-4057-a48a-75c8e7cbc0a3&promotion_type=TODAY_PROMOTION
"918,1.499", Motorola Moto G32 Dual SIM 128 GB 4 GB RAM Preto,https://www.mercadolivre.com.br/motorola-moto-g32-dual-sim-128-gb-4-gb-ram-preto/p/MLB21813786?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB21813786&position=11&search_layout=grid&type=product&tracking_id=618fab3c-4267-4318-bb87-963eb126c9ce&deal_print_id=cf2c3dce-2c72-4057-a48a-75c8e7cbc0a3&promotion_type=TODAY_PROMOTION
"2.028,4.099","Notebook Samsung Book Intel Core I3 256gb Ssd 4gb Ram 15,6'' Windows 11 Home",https://www.mercadolivre.com.br/notebook-samsung-book-intel-core-i3-256gb-ssd-4gb-ram-156-windows-11-home/p/MLB19630987?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB19630987&position=12&search_layout=grid&type=product&tracking_id=618fab3c-4267-4318-bb87-963eb126c9ce&deal_print_id=cf2c3dce-2c72-4057-a48a-75c8e7cbc0a3&promotion_type=TODAY_PROMOTION
"2.610,3.099",Smart Tv 50'' Qled 4k 50q60c 2023,https://www.mercadolivre.com.br/smart-tv-50-qled-4k-50q60c-2023/p/MLB25871583?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB25871583&position=17&search_layout=grid&type=product&tracking_id=618fab3c-4267-4318-bb87-963eb126c9ce&deal_print_id=cf2c3dce-2c72-4057-a48a-75c8e7cbc0a3&promotion_type=TODAY_PROMOTION
"54,129",Camera Lâmpada Espia Wifi Ip Segurança Panoramica Giratoria,https://produto.mercadolivre.com.br/MLB-2785915286-camera-lmpada-espia-wifi-ip-seguranca-panoramica-giratoria-_JM?hide_psmb=true#position=43&search_layout=grid&type=item&tracking_id=618fab3c-4267-4318-bb87-963eb126c9ce&deal_print_id=cf2c3dce-2c72-4057-a48a-75c8e7cbc0a3&promotion_type=TODAY_PROMOTION
"89,115",Cerveja Heineken barril 5 litros,https://www.mercadolivre.com.br/cerveja-heineken-barril-5-litros/p/MLB18415390?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18415390&position=18&search_layout=grid&type=product&tracking_id=618fab3c-4267-4318-bb87-963eb126c9ce&deal_print_id=cf2c3dce-2c72-4057-a48a-75c8e7cbc0a3&promotion_type=TODAY_PROMOTION
"114,229","Liquidificador Turbo Power L-99 Fb 2,2l 550w Preto Mondial 110V",https://www.mercadolivre.com.br/liquidificador-turbo-power-l-99-fb-22l-550w-preto-mondial-110v/p/MLB15578949?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB15578949&position=21&search_layout=grid&type=product&tracking_id=618fab3c-4267-4318-bb87-963eb126c9ce&deal_print_id=cf2c3dce-2c72-4057-a48a-75c8e7cbc0a3&promotion_type=TODAY_PROMOTION
"219,319","Aspirador De Pó Vertical Stk15 1300w 1,6 Litros Electrolux Cor Cinza-escuro 110V",https://www.mercadolivre.com.br/aspirador-de-po-vertical-stk15-1300w-16-litros-electrolux-cor-cinza-escuro-110v/p/MLB18238728?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18238728&position=22&search_layout=grid&type=product&tracking_id=618fab3c-4267-4318-bb87-963eb126c9ce&deal_print_id=cf2c3dce-2c72-4057-a48a-75c8e7cbc0a3&promotion_type=TODAY_PROMOTION
"499,749",Caixa Amplificada Connect Lights Cm-400 Preta Mondial Bivolt Cor Preto 110V/220V,https://www.mercadolivre.com.br/caixa-amplificada-connect-lights-cm-400-preta-mondial-bivolt-cor-preto-110v220v/p/MLB18247621?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18247621&position=23&search_layout=grid&type=product&tracking_id=618fab3c-4267-4318-bb87-963eb126c9ce&deal_print_id=cf2c3dce-2c72-4057-a48a-75c8e7cbc0a3&promotion_type=TODAY_PROMOTION
"423,572",Lavadora De Alta Pressão 1500w 1750psi Wap Ousada Plus 2200 110V,https://www.mercadolivre.com.br/lavadora-de-alta-presso-1500w-1750psi-wap-ousada-plus-2200-110v/p/MLB15345686?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB15345686&position=10&search_layout=grid&type=product&tracking_id=243bbad6-3990-4e7b-86cf-3ae5a82508f0&deal_print_id=cf6d8b09-3d71-4aa9-b409-14b3046c84a3&promotion_type=TODAY_PROMOTION
"918,1.499", Motorola Moto G32 Dual SIM 128 GB 4 GB RAM Preto,https://www.mercadolivre.com.br/motorola-moto-g32-dual-sim-128-gb-4-gb-ram-preto/p/MLB21813786?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB21813786&position=11&search_layout=grid&type=product&tracking_id=243bbad6-3990-4e7b-86cf-3ae5a82508f0&deal_print_id=cf6d8b09-3d71-4aa9-b409-14b3046c84a3&promotion_type=TODAY_PROMOTION
"2.028,4.099","Notebook Samsung Book Intel Core I3 256gb Ssd 4gb Ram 15,6'' Windows 11 Home",https://www.mercadolivre.com.br/notebook-samsung-book-intel-core-i3-256gb-ssd-4gb-ram-156-windows-11-home/p/MLB19630987?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB19630987&position=12&search_layout=grid&type=product&tracking_id=243bbad6-3990-4e7b-86cf-3ae5a82508f0&deal_print_id=cf6d8b09-3d71-4aa9-b409-14b3046c84a3&promotion_type=TODAY_PROMOTION
"2.610,3.099",Smart Tv 50'' Qled 4k 50q60c 2023,https://www.mercadolivre.com.br/smart-tv-50-qled-4k-50q60c-2023/p/MLB25871583?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB25871583&position=17&search_layout=grid&type=product&tracking_id=243bbad6-3990-4e7b-86cf-3ae5a82508f0&deal_print_id=cf6d8b09-3d71-4aa9-b409-14b3046c84a3&promotion_type=TODAY_PROMOTION
"54,129",Camera Lâmpada Espia Wifi Ip Segurança Panoramica Giratoria,https://produto.mercadolivre.com.br/MLB-2785915286-camera-lmpada-espia-wifi-ip-seguranca-panoramica-giratoria-_JM?hide_psmb=true#position=43&search_layout=grid&type=item&tracking_id=243bbad6-3990-4e7b-86cf-3ae5a82508f0&deal_print_id=cf6d8b09-3d71-4aa9-b409-14b3046c84a3&promotion_type=TODAY_PROMOTION
"89,115",Cerveja Heineken barril 5 litros,https://www.mercadolivre.com.br/cerveja-heineken-barril-5-litros/p/MLB18415390?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18415390&position=18&search_layout=grid&type=product&tracking_id=243bbad6-3990-4e7b-86cf-3ae5a82508f0&deal_print_id=cf6d8b09-3d71-4aa9-b409-14b3046c84a3&promotion_type=TODAY_PROMOTION
"114,229","Liquidificador Turbo Power L-99 Fb 2,2l 550w Preto Mondial 110V",https://www.mercadolivre.com.br/liquidificador-turbo-power-l-99-fb-22l-550w-preto-mondial-110v/p/MLB15578949?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB15578949&position=21&search_layout=grid&type=product&tracking_id=243bbad6-3990-4e7b-86cf-3ae5a82508f0&deal_print_id=cf6d8b09-3d71-4aa9-b409-14b3046c84a3&promotion_type=TODAY_PROMOTION
"219,319","Aspirador De Pó Vertical Stk15 1300w 1,6 Litros Electrolux Cor Cinza-escuro 110V",https://www.mercadolivre.com.br/aspirador-de-po-vertical-stk15-1300w-16-litros-electrolux-cor-cinza-escuro-110v/p/MLB18238728?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18238728&position=22&search_layout=grid&type=product&tracking_id=243bbad6-3990-4e7b-86cf-3ae5a82508f0&deal_print_id=cf6d8b09-3d71-4aa9-b409-14b3046c84a3&promotion_type=TODAY_PROMOTION
"499,749",Caixa Amplificada Connect Lights Cm-400 Preta Mondial Bivolt Cor Preto 110V/220V,https://www.mercadolivre.com.br/caixa-amplificada-connect-lights-cm-400-preta-mondial-bivolt-cor-preto-110v220v/p/MLB18247621?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB18247621&position=23&search_layout=grid&type=product&tracking_id=243bbad6-3990-4e7b-86cf-3ae5a82508f0&deal_print_id=cf6d8b09-3d71-4aa9-b409-14b3046c84a3&promotion_type=TODAY_PROMOTION
"423,572",Lavadora De Alta Pressão 1500w 1750psi Wap Ousada Plus 2200 110V,https://www.mercadolivre.com.br/lavadora-de-alta-presso-1500w-1750psi-wap-ousada-plus-2200-110v/p/MLB15345686?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB15345686&position=10&search_layout=grid&type=product&tracking_id=767b3f76-18cb-4613-a270-587342dd344a&deal_print_id=cc171a4a-0ca4-4649-9929-c791f31a72c5&promotion_type=TODAY_PROMOTION
"918,1.499", Motorola Moto G32 Dual SIM 128 GB 4 GB RAM Preto,https://www.mercadolivre.com.br/motorola-moto-g32-dual-sim-128-gb-4-gb-ram-preto/p/MLB21813786?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB21813786&position=11&search_layout=grid&type=product&tracking_id=767b3f76-18cb-4613-a270-587342dd344a&deal_print_id=cc171a4a-0ca4-4649-9929-c791f31a72c5&promotion_type=TODAY_PROMOTION
"2.028,4.099","Notebook Samsung Book Intel Core I3 256gb Ssd 4gb Ram 15,6'' Windows 11 Home",https://www.mercadolivre.com.br/notebook-samsung-book-intel-core-i3-256gb-ssd-4gb-ram-156-windows-11-home/p/MLB19630987?pdp_filters=deal:MLB779362-2&hide_psmb=true#searchVariation=MLB19630987&position=12&search_layout=grid&type=product&tracking_id=767b3f76-18cb-4613-a270-587342dd344a&deal_print_id=cc171a4a-0ca4-4649-9929-c791f31a72c5&promotion_type=TODAY_PROMOTION
